"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-05,,quarterly,5646,,,,,1972-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-06,,quarterly,5646,,,,,1972-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-07,,quarterly,6499,,,,,1972-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-08,,quarterly,6499,,,,,1972-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-09,,quarterly,6499,,,,,1972-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-10,,quarterly,6966,,,,,1972-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-11,,quarterly,6966,,,,,1972-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1972-12,,quarterly,6966,,,,,1972-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-01,,quarterly,7758,,,,,1973-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-02,,quarterly,7758,,,,,1973-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-03,,quarterly,7758,,,,,1973-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-04,,quarterly,8144,,,,,1973-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-05,,quarterly,8144,,,,,1973-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-06,,quarterly,8144,,,,,1973-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-07,,quarterly,8692,,,,,1973-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-08,,quarterly,8692,,,,,1973-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-09,,quarterly,8692,,,,,1973-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-10,,quarterly,8794,,,,,1973-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-11,,quarterly,8794,,,,,1973-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1973-12,,quarterly,8794,,,,,1973-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-01,,quarterly,8915,,,,,1974-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-02,,quarterly,8915,,,,,1974-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-03,,quarterly,8915,,,,,1974-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-04,,quarterly,8936,,,,,1974-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-05,,quarterly,8936,,,,,1974-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-06,,quarterly,8936,,,,,1974-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-07,,quarterly,9017,,,,,1974-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-08,,quarterly,9017,,,,,1974-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-09,,quarterly,9017,,,,,1974-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-10,,quarterly,9139,,,,,1974-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-11,,quarterly,9139,,,,,1974-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-12,,quarterly,9139,,,,,1974-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-01,,quarterly,9179,,,,,1975-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-02,,quarterly,9179,,,,,1975-02-01
